Name	URL	Author	Price	Number of Ratings	Average Rating
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo	https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1	Not Available	$11.39	4,847	4.9 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included	https://www.amazon.com/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1	Don't Laugh Joke…	$8.15	13	4.5 out of 5 stars
Dear Madam President: An Open Letter to the Women Who Will Run the World	https://www.amazon.com/Dear-Madam-President-Letter-Women/dp/1538713454?_encoding=UTF8&psc=1	Not Available	$18.00	8	4.3 out of 5 stars
12 Rules for Life: An Antidote to Chaos	https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1	Jordan B. Peterson	$15.75	1,643	4.7 out of 5 stars
Llama Llama Easter Egg	https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1	Anna Dewdney	$5.99	215	4.5 out of 5 stars
Easter Eggstravaganza Mad Libs	https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1	Roger Price	$4.99	136	4.6 out of 5 stars
Happy Easter, Mouse! (If You Give...)	https://www.amazon.com/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1	Not Available	$5.63	284	4.5 out of 5 stars
Everything Happens for a Reason: And Other Lies I've Loved	https://www.amazon.com/Everything-Happens-Reason-Other-Loved/dp/0399592067?_encoding=UTF8&psc=1	Kate Bowler	$18.20	165	4.7 out of 5 stars
Pete the Cat: Big Easter Adventure	https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?_encoding=UTF8&psc=1	James Dean	$7.18	215	4.6 out of 5 stars
The Berenstain Bears and the Easter Story: Stickers Included! (Berenstain Bears/Living Lights)	https://www.amazon.com/Berenstain-Bears-Easter-Story-Stickers/dp/0310720877?_encoding=UTF8&psc=1	Mike Berenstain	$4.01	343	4.6 out of 5 stars
Try Not to Laugh Challenge, Easter Joke Book for Kids: Easter Basket Stuffer for Boys, Girls, Teens &amp; Adults, Fun Easter Activity Book with Cute ... Easter Activities for the Whole Family!	https://www.amazon.com/Laugh-Challenge-Easter-Joke-Book/dp/1986554902?_encoding=UTF8&psc=1	Not Available	$6.99	Not Available	Not Available
On Tyranny: Twenty Lessons from the Twentieth Century	https://www.amazon.com/Tyranny-Twenty-Lessons-Twentieth-Century/dp/0804190119?_encoding=UTF8&psc=1	Timothy Snyder	$6.39	1,819	4.6 out of 5 stars
This Is Me: Loving the Person You Are Today	https://www.amazon.com/This-Me-Loving-Person-Today/dp/0062837877?_encoding=UTF8&psc=1	Chrissy Metz	$16.19	Not Available	Not Available
Ready Player One: A Novel	https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1	Ernest Cline	$8.79	16,465	4.6 out of 5 stars
A Higher Loyalty: Truth, Lies, and Leadership	https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1	Not Available	$15.99	Not Available	Not Available
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends	https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1	Peter Schweizer	$17.39	40	4.5 out of 5 stars
It's Not Easy Being a Bunny (Beginner Books(R))	https://www.amazon.com/Easy-Being-Bunny-Beginner-Books/dp/0394861027?_encoding=UTF8&psc=1	Marilyn Sadler	$8.03	229	4.8 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump	https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1	Michael Isikoff	$18.00	179	4.7 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life	https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1	Mark Manson	$14.99	3,284	4.4 out of 5 stars
A Wrinkle in Time (Time Quintet)	https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1	Madeleine L'Engle	$6.29	3,009	4.5 out of 5 stars
Name	URL	Author	Price	Number of Ratings	Average Rating
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4)	https://www.amazon.com/Dog-Man-Cat-Kid-Underpants/dp/0545935180?_encoding=UTF8&psc=1	Dav Pilkey	$6.40	350	4.9 out of 5 stars
