Name;URL;Author;Price;Number of Ratings;Average Rating
The Power of your Subconscious Mind;https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1;Joseph Murphy;INR 98.00;2,906;4.5 out of 5 stars
The Subtle Art of Not Giving a F*ck;https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1;Mark Manson;INR 324.00;254;4.3 out of 5 stars
Think and Grow Rich;https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1;Napoleon Hill;INR 120.00;2,420;4.5 out of 5 stars
Railway Assistant Loco Pilot and Technician 2018;https://www.amazon.in/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1;Arihant Experts;INR 160.00;63;3.9 out of 5 stars
Word Power Made Easy;https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1;Norman Lewis;INR 109.00;4,754;4.4 out of 5 stars
A Brief History of Time: From Big Bang to Black Holes;https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211?_encoding=UTF8&psc=1;Stephen Hawking;INR 240.00;530;4.4 out of 5 stars
Indian Polity 5th Edition;https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1;M. Laxmikanth;INR 403.00;1,945;4.5 out of 5 stars
RRB Group D Guide 2018;https://www.amazon.in/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1;Arihant Experts;INR 153.00;50;4.2 out of 5 stars
Sapiens;https://www.amazon.in/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1;Yuval Noah Harari;INR 288.00;905;4.6 out of 5 stars
Manorama Yearbook 2018;https://www.amazon.in/Manorama-Yearbook-2018-Mammen-Mathew/dp/9386025426?_encoding=UTF8&psc=1;Mammen Mathew;INR 195.00;148;4.1 out of 5 stars
India 2018;https://www.amazon.in/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1;Publication Division;INR 245.00;47;3.6 out of 5 stars
Quantitative Aptitude for Competitive Examinations;https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1;R S Aggarwal;INR 486.00;587;4.3 out of 5 stars
The Alchemist;https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1;Paulo Coelho;INR 174.00;2,984;4.6 out of 5 stars
A Century is not Enough: My Roller-coaster Ride to Success;https://www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1;Sourav Ganguly;INR 394.00;114;4.6 out of 5 stars
General Knowledge 2019;https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1;Manohar Pandey;INR 25.00;44;4.2 out of 5 stars
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World);https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1;Robert T Kiyosaki;INR 199.00;2,521;4.5 out of 5 stars
How to Win Friends and Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/0091906350?_encoding=UTF8&psc=1;Dale Carnegie;INR 129.00;1,842;4.5 out of 5 stars
Will You Still Love Me?;https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1;RAVINDER SINGH;INR 109.00;77;4.8 out of 5 stars
A Brief History of Modern India;https://www.amazon.in/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1;Rajiv Ahir;INR 190.00;142;4.2 out of 5 stars
The Monk Who Sold His Ferrari;https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1;Robin Sharma;INR 104.00;2,449;4.5 out of 5 stars
Accounting and Finance for Bankers;https://www.amazon.in/Accounting-Finance-Bankers-Med/dp/9350598485?_encoding=UTF8&psc=1;Med;INR 290.00;191;4.5 out of 5 stars
12 Years' Solved Papers CBSE AIPMT & NEET;https://www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1;Arihant Experts;INR 219.00;26;4.0 out of 5 stars
RRB Group D Solved Papers and Practice Sets 2018;https://www.amazon.in/Group-Solved-Papers-Practice-Sets/dp/9312148559?_encoding=UTF8&psc=1;Arihant Experts;INR 142.00;14;4.5 out of 5 stars
The Immortals of Meluha (Shiva Trilogy);https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745?_encoding=UTF8&psc=1;Amish;INR 156.00;2,184;4.6 out of 5 stars
Wings of Fire: An Autobiography of Abdul Kalam;https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1;Arun Tiwari;INR 198.00;1,840;4.6 out of 5 stars
Concepts of Physics 2;https://www.amazon.in/Concepts-Physics-2-H-C-Verma/dp/8177092324?_encoding=UTF8&psc=1;H.C. Verma;INR 282.00;434;4.6 out of 5 stars
Diary of a Wimpy Kid: The Getaway (book 12);https://www.amazon.in/Diary-Wimpy-Kid-Getaway-book/dp/0141385294?_encoding=UTF8&psc=1;Jeff Kinney;INR 213.00;298;4.7 out of 5 stars
High School English Grammar and Composition Book (Regular Edition);https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;D;INR 284.00;663;4.3 out of 5 stars
The 7 Habits of Highly Effective People;https://www.amazon.in/Habits-Highly-Effective-People/dp/1471131823?_encoding=UTF8&psc=1;R. Stephen Covey;INR 185.00;843;4.0 out of 5 stars
Indian Economy;https://www.amazon.in/Indian-Economy-Ramesh-Singh/dp/9352606140?_encoding=UTF8&psc=1;Ramesh Singh;INR 465.00;342;3.9 out of 5 stars
Origin: Number 5 of the Robert Langdon Series;https://www.amazon.in/Origin-Number-5-Robert-Langdon/dp/0593078756?_encoding=UTF8&psc=1;Dan Brown;INR 400.00;827;4.0 out of 5 stars
Immortal Talks;https://www.amazon.in/Immortal-Talks-Shunya/dp/8193305205?_encoding=UTF8&psc=1;Shunya;INR 249.00;535;4.8 out of 5 stars
Don't Lose Your Mind, Lose Your Weight;https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;Rujuta Diwekar;INR 175.00;820;4.5 out of 5 stars
RRB Group D Guide Hindi 2018;https://www.amazon.in/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1;Arihant Experts;INR 190.00;16;3.9 out of 5 stars
Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition);https://www.amazon.in/Legal-Regulatory-Aspects-Banking-JAIIB/dp/9350597284?_encoding=UTF8&psc=1;IIBF;INR 295.00;190;4.4 out of 5 stars
Turtles All the Way Down;https://www.amazon.in/Turtles-All-Down-John-Green/dp/0241335434?_encoding=UTF8&psc=1;John Green;INR 374.00;143;4.2 out of 5 stars
General Knowledge 2019;https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/931214734X?_encoding=UTF8&psc=1;Manohar Pandey;INR 108.00;21;4.0 out of 5 stars
Exam Warriors;https://www.amazon.in/Exam-Warriors-Narendra-Modi/dp/0143441507?_encoding=UTF8&psc=1;Narendra Modi;INR 57.00;313;4.4 out of 5 stars
Zero to One: Note on Start Ups, or How to Build the Future;https://www.amazon.in/Zero-One-Start-Build-Future/dp/0753555190?_encoding=UTF8&psc=1;Peter Thiel;INR 288.00;801;4.3 out of 5 stars
Why I Am a Hindu;https://www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102?_encoding=UTF8&psc=1;Dr. Shashi Tharoor;INR 398.00;111;3.6 out of 5 stars
